Neighborhood,Neighborrhood_number,Neighborhood_lat,Neighborhood_long,Venue,Category,Venue_lat,Venue_long
Weston-Pellam Park ,91,43.67292801896069,-79.45558529844811,Pho Xua,Vietnamese Restaurant,43.674056,-79.461112
Weston-Pellam Park ,91,43.67292801896069,-79.45558529844811,Cùu Long Miên Tây,Vietnamese Restaurant,43.674141834496375,-79.46051957889887
Weston-Pellam Park ,91,43.67292801896069,-79.45558529844811,Porto Novo,Portuguese Restaurant,43.675792436006596,-79.45331145878284
Weston-Pellam Park ,91,43.67292801896069,-79.45558529844811,Bánh Cuôn Phò Gà,Vietnamese Restaurant,43.674076,-79.460987
Eringate-Centennial-West Deane ,11,43.65920164871945,-79.58253066479463,Golden Wok Chinese Restaurant,Chinese Restaurant,43.66049068196177,-79.58231896162033
Bridle Path-Sunnybrook-York Mills ,41,43.73298873939063,-79.3709424745729,Zio's House,Italian Restaurant,43.73451688383278,-79.36808824539185
Rockcliffe-Smythe ,111,43.67575456986071,-79.49825838027688,Island Breeze,Asian Restaurant,43.67742716216074,-79.49604614685293
Danforth East York ,59,43.68921514891051,-79.33109135666835,Paul's Spaghetti,Italian Restaurant,43.692984,-79.333487
Elms-Old Rexdale ,5,43.7234166213205,-79.54703347098148,Etob Restaurant,African Restaurant,43.725495473121335,-79.55127503928966
Elms-Old Rexdale ,5,43.7234166213205,-79.54703347098148,Al-Aruba Restaurant,African Restaurant,43.725495,-79.551412
Eglinton East ,138,43.74303004213847,-79.24567683042171,Jamalicious,Caribbean Restaurant,43.74373009142719,-79.24579330051705
Wexford/Maryvale ,119,43.75512124074966,-79.30239993553603,Dounia Restaurant,Middle Eastern Restaurant,43.75455093383789,-79.29828643798828
Alderwood ,20,43.6069478794947,-79.54476773766149,Morocco House,Moroccan Restaurant,43.609938,-79.54902
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Yummy Cantonese Restaurant 老西関腸粉,Cantonese Restaurant,43.787567846730724,-79.26958536632105
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,The Captain's Boil,Seafood Restaurant,43.788100937060236,-79.26508523996
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Gourmet Malaysia 膳園,Malay Restaurant,43.7881184598393,-79.26667771236072
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Congee Me 小米粥鋪,Chinese Restaurant,43.787391662597656,-79.26838684082031
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Jesse Jr. (Filipino Foods & Restaurant),Restaurant,43.78756491773208,-79.26880977111882
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Asian Legend 味香村,Chinese Restaurant,43.78806782493317,-79.26676821861626
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Borsalino,Mediterranean Restaurant,43.7881209225317,-79.26504908695252
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Joey Bravo's Italian Restaurant,American Restaurant,43.788071,-79.265134
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Katsuya,Japanese Restaurant,43.788227,-79.26725
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Shanghai Dim Sum,Chinese Restaurant,43.78703615843197,-79.26938030256589
